week_start,number,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum
2015-04-05,107,28.685714285714287,24.5,87.8,10.885714285714286,18.20714285714286
2015-04-12,137,28.900000000000002,24.957142857142856,62.099999999999994,10.671428571428573,18.358571428571427
2015-04-19,113,29.428571428571427,25.12857142857143,25.0,11.200000000000001,20.865714285714287
2015-04-26,119,29.214285714285715,24.728571428571428,64.2,9.614285714285714,19.108571428571427
2015-05-03,135,28.771428571428572,24.785714285714285,66.1,9.828571428571427,14.991428571428571
2015-05-10,157,28.557142857142857,25.071428571428573,65.9,10.414285714285715,17.124285714285715
2015-05-17,109,28.62857142857143,25.314285714285713,47.5,9.87142857142857,16.765714285714285
2015-05-24,178,28.32857142857143,25.571428571428573,56.8,11.62857142857143,14.797142857142857
2015-05-31,151,29.042857142857144,25.32857142857143,39.1,12.928571428571429,18.19142857142857
2015-06-07,192,28.442857142857143,25.0,45.4,10.799999999999999,16.888571428571428
2015-06-14,207,27.985714285714288,25.071428571428573,59.0,10.914285714285715,13.927142857142858
2015-06-21,240,28.571428571428573,25.97142857142857,40.6,13.914285714285715,16.08142857142857
2015-06-28,242,29.52857142857143,27.014285714285712,6.2,16.428571428571427,20.351428571428567
2015-07-05,272,29.02857142857143,26.142857142857142,9.2,15.171428571428573,19.145714285714284
2015-07-12,263,28.771428571428572,25.914285714285715,37.0,15.6,16.81
2015-07-19,293,28.571428571428573,25.97142857142857,28.7,15.528571428571428,17.622857142857143
2015-07-26,250,28.885714285714283,25.657142857142855,22.7,14.728571428571428,19.047142857142855
2015-08-02,226,28.400000000000002,25.414285714285715,38.5,14.157142857142858,17.825714285714287
2015-08-09,221,27.614285714285717,24.614285714285717,41.7,12.328571428571427,15.15
2015-08-16,250,28.357142857142858,25.37142857142857,42.5,14.314285714285715,18.28857142857143
2015-08-23,225,28.557142857142857,25.014285714285712,19.4,14.157142857142857,20.545714285714286
2015-08-30,246,28.82857142857143,25.771428571428572,18.6,14.757142857142856,18.752857142857142
2015-09-06,217,28.914285714285715,25.885714285714283,12.8,14.614285714285714,20.31714285714286
2015-09-13,303,28.7,25.285714285714285,5.6,15.014285714285714,20.222857142857144
2015-09-20,214,28.685714285714287,25.728571428571428,42.7,14.200000000000001,17.635714285714286
2015-09-27,257,28.87142857142857,25.2,14.0,12.985714285714286,21.599999999999998
2015-10-04,236,28.857142857142858,25.157142857142855,22.5,14.057142857142859,20.284285714285716
2015-10-11,235,29.214285714285715,25.142857142857142,32.800000000000004,11.342857142857143,20.99857142857143
2015-10-18,224,29.657142857142855,25.228571428571428,8.9,11.285714285714286,21.955714285714286
2015-10-25,246,29.571428571428573,25.74285714285714,13.6,14.185714285714285,21.982857142857142
2015-11-01,266,28.5,24.599999999999998,123.39999999999999,10.771428571428572,14.704285714285714
2015-11-08,198,28.67142857142857,24.7,48.8,9.385714285714286,18.22142857142857
2015-11-15,254,28.557142857142857,24.728571428571428,104.8,8.22857142857143,15.638571428571428
2015-11-22,282,27.97142857142857,24.571428571428573,64.3,8.428571428571429,13.344285714285714
2015-11-29,259,28.014285714285712,24.514285714285712,83.30000000000001,9.4,12.631428571428572
2015-12-06,356,28.75714285714286,24.7,106.1,10.4,15.807142857142859
2015-12-13,333,28.285714285714285,24.942857142857143,102.9,9.685714285714285,14.478571428571428
2015-12-20,367,28.614285714285717,24.557142857142857,15.6,14.214285714285714,14.889999999999999
2015-12-27,457,28.885714285714283,24.885714285714283,41.8,13.257142857142856,18.945714285714285
2016-01-03,545,27.714285714285715,24.685714285714287,32.6,16.257142857142856,14.342857142857143
2016-01-10,620,28.814285714285713,25.185714285714287,28.1,13.342857142857143,18.86285714285714
2016-01-17,636,28.771428571428572,25.099999999999998,93.9,10.785714285714286,18.237142857142857
2016-01-24,623,29.057142857142857,25.314285714285713,38.0,14.842857142857143,17.431428571428572
2016-01-31,523,28.642857142857142,24.928571428571427,28.5,15.714285714285714,18.344285714285714
2016-02-07,419,28.400000000000002,24.814285714285713,47.4,17.085714285714285,17.11857142857143
2016-02-14,589,28.085714285714285,24.914285714285715,49.5,15.9,13.608571428571429
2016-02-21,507,28.071428571428573,24.8,27.2,17.62857142857143,16.382857142857144
2016-02-28,411,28.642857142857142,24.885714285714283,20.5,19.342857142857145,20.122857142857146
2016-03-06,394,28.67142857142857,25.214285714285715,25.7,18.37142857142857,17.72
2016-03-13,372,29.428571428571427,25.75714285714286,53.0,13.042857142857143,20.724285714285713
2016-03-20,301,29.942857142857143,25.37142857142857,15.4,12.571428571428571,22.102857142857143
2016-03-27,376,29.62857142857143,25.8,27.4,13.542857142857143,18.599999999999998
2016-04-03,289,29.62857142857143,25.728571428571428,10.2,16.114285714285714,21.552857142857142
2016-04-10,221,29.87142857142857,25.814285714285713,36.0,10.614285714285714,20.488571428571426
2016-04-17,228,29.928571428571427,25.914285714285715,58.599999999999994,10.171428571428573,20.184285714285714
2016-04-24,242,29.87142857142857,26.214285714285715,46.2,10.028571428571428,19.207142857142856
2016-05-01,178,29.514285714285712,25.47142857142857,96.1,7.657142857142857,17.834285714285716
2016-05-08,215,29.771428571428572,25.62857142857143,66.8,8.942857142857143,18.672857142857143
2016-05-15,211,29.357142857142858,25.97142857142857,83.8,9.185714285714285,16.44
2016-05-22,198,29.32857142857143,25.885714285714283,79.2,11.028571428571428,15.01142857142857
2016-05-29,214,29.614285714285717,26.17142857142857,52.8,13.200000000000001,17.08857142857143
2016-06-05,157,29.485714285714288,25.714285714285715,43.9,10.4,16.70714285714286
2016-06-12,192,29.114285714285717,25.97142857142857,34.9,12.12857142857143,17.505714285714287
2016-06-19,213,28.257142857142856,25.285714285714285,57.699999999999996,11.557142857142855,12.799999999999999
2016-06-26,234,28.928571428571427,25.985714285714288,20.4,13.142857142857142,15.989999999999998
2016-07-03,245,29.957142857142856,26.928571428571427,2.4,12.142857142857142,18.90142857142857
2016-07-10,223,29.814285714285713,26.957142857142856,13.7,14.799999999999999,20.075714285714287
2016-07-17,266,28.842857142857145,25.514285714285712,45.5,11.428571428571429,16.54
2016-07-24,219,28.185714285714287,24.714285714285715,55.599999999999994,12.657142857142857,14.922857142857143
2016-07-31,209,28.214285714285715,25.12857142857143,31.7,12.085714285714287,15.549999999999999
2016-08-07,196,28.828571428571426,26.24285714285714,12.4,13.685714285714285,19.580000000000002
2016-08-14,219,29.2,25.571428571428573,31.5,13.842857142857143,19.681428571428572
2016-08-21,271,28.942857142857143,26.071428571428573,38.7,15.328571428571427,18.13
2016-08-28,308,28.82857142857143,25.8,72.8,12.814285714285715,16.637142857142855
2016-09-04,238,28.5,24.97142857142857,57.2,11.6,18.365714285714287
2016-09-11,174,28.62857142857143,25.62857142857143,36.8,13.742857142857144,17.18285714285714
2016-09-18,173,28.97142857142857,25.32857142857143,51.5,13.842857142857143,18.31714285714286
2016-09-25,135,29.085714285714285,25.02857142857143,47.0,13.928571428571429,17.244285714285716
2016-10-02,124,29.685714285714287,25.614285714285717,35.6,11.042857142857143,19.53857142857143
2016-10-09,94,28.928571428571427,25.3,34.4,12.785714285714286,17.125714285714285
2016-10-16,106,29.385714285714283,25.714285714285715,40.599999999999994,17.0,18.87
2016-10-23,81,28.97142857142857,25.228571428571428,49.1,12.242857142857144,16.715714285714288
2016-10-30,85,28.085714285714285,24.5,60.3,10.528571428571428,13.997142857142858
2016-11-06,82,28.32857142857143,24.67142857142857,81.0,12.671428571428573,13.052857142857144
2016-11-13,71,28.24285714285714,24.67142857142857,110.8,8.314285714285715,15.56857142857143
2016-11-20,74,28.057142857142857,24.7,125.1,8.514285714285714,13.588571428571429
2016-11-27,86,28.057142857142857,24.67142857142857,84.7,10.114285714285714,12.668571428571429
2016-12-04,59,28.2,24.485714285714288,76.2,12.4,12.392857142857142
2016-12-11,81,29.042857142857144,25.071428571428573,35.6,12.0,16.364285714285714
2016-12-18,70,29.47142857142857,25.042857142857144,25.7,14.071428571428571,18.66
2016-12-25,64,28.728571428571428,25.014285714285712,86.5,14.571428571428571,15.901428571428571
2017-01-01,70,27.7,24.414285714285715,45.6,15.442857142857141,13.181428571428572
2017-01-08,90,29.74285714285714,24.12857142857143,22.1,10.942857142857141,16.73857142857143
2017-01-15,73,29.97142857142857,24.571428571428573,41.0,11.885714285714286,20.244285714285716
2017-01-22,63,29.042857142857144,24.014285714285712,90.0,13.514285714285714,17.279999999999998
2017-01-29,62,27.142857142857142,23.24285714285714,237.8,16.585714285714285,11.58
2017-02-05,77,29.571428571428573,23.657142857142855,27.7,13.957142857142857,18.74285714285714
2017-02-12,51,29.642857142857142,24.057142857142857,27.2,17.485714285714288,19.791428571428572
2017-02-19,54,28.157142857142855,23.714285714285715,25.2,21.0,18.548571428571428
2017-02-26,41,29.214285714285715,23.557142857142857,51.4,13.742857142857144,18.548571428571428
2017-03-05,32,28.114285714285717,23.62857142857143,83.89999999999999,16.52857142857143,15.982857142857142
2017-03-12,34,29.857142857142858,23.485714285714288,25.0,14.085714285714285,22.25
2017-03-19,32,30.085714285714285,24.47142857142857,78.8,11.228571428571428,21.882857142857144
2017-03-26,49,30.342857142857145,24.47142857142857,42.5,11.62857142857143,20.101428571428574
2017-04-02,37,29.485714285714288,24.185714285714287,81.7,10.728571428571428,17.884285714285713
2017-04-09,32,29.74285714285714,24.82857142857143,70.80000000000001,12.728571428571428,19.521428571428572
2017-04-16,51,30.071428571428573,25.2,72.9,10.528571428571428,19.738571428571426
2017-04-23,37,30.0,24.814285714285717,100.8,9.528571428571428,18.774285714285714
2017-04-30,40,29.357142857142858,24.685714285714287,81.9,10.942857142857141,16.572857142857142
2017-05-07,48,29.571428571428573,25.357142857142858,72.0,10.5,18.557142857142857
2017-05-14,48,29.285714285714285,25.25714285714286,65.1,12.37142857142857,17.154285714285713
2017-05-21,50,29.67142857142857,26.271428571428572,73.9,15.142857142857142,17.885714285714286
2017-05-28,66,29.74285714285714,26.02857142857143,70.0,13.700000000000001,16.86857142857143
2017-06-04,62,30.099999999999998,26.0,58.2,13.299999999999999,16.215714285714284
2017-06-11,78,30.285714285714285,26.014285714285712,17.2,13.171428571428573,19.544285714285714
2017-06-18,73,29.62857142857143,25.414285714285715,50.1,12.285714285714286,17.85
2017-06-25,75,29.342857142857145,25.057142857142857,56.2,12.885714285714286,17.638571428571428
2017-07-02,63,29.685714285714287,24.857142857142858,55.9,13.12857142857143,19.28
